Instrumento,Secuencia,Ejercicio,Fecha,Descripcion,Dividendo,Valor Historico,ISFUT,Monto 1,Monto 2,Monto 3,Monto 4,Monto 5,Monto 6,Monto 7,Monto 8,Monto 9,Monto 10,Monto 11,Monto 12
ABC123,1,2024,2024-01-15,Dividendo ordinario,1000.50,5000.75,No,500.25,300.75,150.50,0,0,0,0,0,0,0,0,0
XYZ789,1,2024,2024-02-20,Dividendo preferentes,2500.00,12000.00,Si,800.00,600.00,400.00,300.00,200.00,100.00,50.00,25.00,15.00,10.00,0,0
DEF456,2,2024,2024-03-10,Intereses bonos,750.25,3000.00,No,250.00,180.75,120.50,80.25,60.00,30.75,15.25,8.50,4.75,0,0,0
GHI789,1,2024,2024-01-30,Dividendo extraordinario,1500.00,8000.00,No,600.00,400.00,200.00,150.00,100.00,50.00,0,0,0,0,0,0
JKL012,1,2024,2024-02-14,Intereses certificados,450.75,2000.50,Si,150.25,100.50,75.25,50.00,35.75,20.50,10.25,5.50,2.75,0,0,0
MNO345,3,2024,2024-03-25,Dividendo semestral,2000.00,9500.00,No,700.00,500.00,300.00,200.00,150.00,100.00,50.00,0,0,0,0,0
PQR678,1,2024,2024-01-20,Distribucion utilidades,1200.50,6000.25,Si,400.75,300.25,200.50,150.75,75.25,50.00,23.00,0,0,0,0,0
STU901,2,2024,2024-02-28,Dividendo comunes,850.00,4200.00,No,300.00,200.00,150.00,100.00,50.00,25.00,15.00,10.00,0,0,0,0
VWX234,1,2024,2024-03-05,Intereses depositos,320.75,1500.00,Si,120.25,80.50,60.25,40.00,20.00,0,0,0,0,0,0,0
YZA567,4,2024,2024-04-10,Dividendo trimestral,1800.25,8500.75,No,600.50,450.25,300.75,200.50,150.25,75.50,23.50,0,0,0,0,0
