Instrumento,Secuencia,Ejercicio,Fecha,Descripcion,Dividendo,Valor Historico,ISFUT,Monto 1,Monto 2,Monto 3,Monto 4,Monto 5,Monto 6,Monto 7,Monto 8,Monto 9,Monto 10,Monto 11,Monto 12
FALABELLA,1,2024,2024-01-15,Dividendo trimestral acciones,1250.75,8500.25,No,450.50,300.25,200.75,150.50,75.25,50.00,23.50,0,0,0,0,0
COPEC,1,2024,2024-02-20,Dividendo preferentes,1800.50,12000.75,Si,600.25,450.75,300.50,200.25,125.75,75.50,35.25,12.50,0,0,0,0
BONO-CLP-25,2,2024,2024-03-10,Intereses bono corporativo,950.25,6500.50,No,350.75,250.50,175.25,100.75,50.25,23.00,0,0,0,0,0,0
BTC-USD,1,2024,2024-01-30,Dividendo cripto,2200.00,15000.25,No,800.50,600.25,400.75,250.50,100.25,48.75,0,0,0,0,0,0
FUTURO-SOY,1,2024,2024-02-14,Instrumento financiero,675.80,4200.75,Si,250.60,175.40,125.25,75.35,35.20,14.00,0,0,0,0,0,0
EXPORT-VINO,3,2024,2024-03-25,Dividendo exportación,1550.30,9800.50,No,550.75,400.25,275.80,175.60,100.45,48.45,0,0,0,0,0,0
IMPORT-TECH,1,2024,2024-01-20,Importación tecnología,825.45,5200.25,Si,300.80,225.60,150.35,100.20,48.50,0,0,0,0,0,0,0
SERV-CLOUD,2,2024,2024-02-28,Servicios cloud,1325.60,7800.75,No,475.25,350.80,225.45,150.30,75.40,48.40,0,0,0,0,0,0
RENTA-OFIC,1,2024,2024-03-05,Renta inmobiliaria,715.30,4500.50,Si,265.75,185.60,125.45,75.25,38.25,25.00,0,0,0,0,0,0
COMER-RETAIL,4,2024,2024-04-10,Comercio retail,1425.90,8600.25,No,500.60,375.25,250.80,175.45,85.30,38.50,0,0,0,0,0,0
AGRO-VIÑA,1,2024,2024-01-25,Agroindustria viña,1100.40,7200.60,No,400.25,300.15,200.80,125.60,50.35,23.25,0,0,0,0,0,0
